ISIN,Bond Code,Issuer,Bond Type,Issue Date,Latest Rating
CND10006KWD3,230014,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-06-21,---
---,239937,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-06-16,---
CND10006JM06,230013,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-06-14,---
CND10006K5N0,239936,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-06-09,---
CND10006JD64,239935,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-06-09,---
CND10006JLY4,239934,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-06-07,---
CND10006JLZ1,239933,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-06-07,---
CND10006JDS3,239932,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-06-02,---
CND10006HB01,239931,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-05-26,---
CND10006GPT1,230012,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-05-24,---
CND10006GQF8,239930,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-05-19,---
CND10006G542,239929,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-05-12,---
CND10006FNG5,230011,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-05-12,---
CND10006FQJ2,239928,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-05-10,---
CND10006FQK0,239927,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-05-10,---
CND10006DR07,239926,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-05-05,---
CND10006C988,239925,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-05-05,---
CND10006BDM3,230010,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-04-24,---
CND10006BG93,239924,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-04-21,---
CND10006BCN3,239923,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-04-21,---
CND10006BC89,239922,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-04-14,---
CND100069PK9,230009,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-04-14,---
CND100069PL7,230008,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-04-14,---
CND10006BBV8,239920,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-04-12,---
CND10006BBT2,239921,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-04-12,---
CND100069P27,239919,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-04-07,---
CND1000682G3,239918,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-03-24,---
CND100067586,230007,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-03-24,---
CND100067578,230006,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-03-24,---
CND100067552,239917,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-03-17,---
CND1000652C5,230005,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-03-14,---
CND1000652Y9,239916,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-03-10,---
CND1000652D3,239915,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-03-08,---
CND1000652F8,239914,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-03-08,---
CND1000651L8,239913,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-03-03,---
CND100064S52,239912,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-03-03,---
CND100064RF6,239911,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-02-24,---
CND100063XD1,230004,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-02-24,---
CND100063PG0,239910,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-02-17,---
CND1000639M1,230003,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-02-14,---
CND1000639H1,239909,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-02-10,---
CND1000620Q2,239907,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-02-08,---
CND1000620P4,239908,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-02-08,---
CND100061ZY6,239906,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-02-03,---
CND100060110,239905,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-02-03,---
CND10005ZVC7,239904,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-01-13,---
CND10005ZT18,230002,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-01-13,---
CND10005ZT00,239903,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-01-13,---
CND10005ZT26,230001,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-01-13,---
CND10005ZTL2,239902,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-01-11,---
CND10005ZTM0,239901,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-01-11,---
